timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
75.00;60.01;t_3;:264479903#1-AddedOnRampNode_0_0;6.68;0.00;0.00;DEFAULT_VEHTYPE;585.57;661.97
76.00;359.70;t_1;211138992#0_0;33.23;0.00;0.00;DEFAULT_VEHTYPE;594.75;727.96
76.00;240.24;t_2;264479898#0_0;16.22;0.00;10.76;DEFAULT_VEHTYPE;563.47;667.39
76.00;60.01;t_3;:264479903#1-AddedOnRampNode_0_0;6.68;0.00;0.00;DEFAULT_VEHTYPE;585.57;661.97
77.00;359.70;t_1;211138992#0_0;33.23;0.00;0.00;DEFAULT_VEHTYPE;594.75;727.96
77.00;240.24;t_2;264479898#0_0;28.34;0.00;12.12;DEFAULT_VEHTYPE;552.95;661.37
77.00;60.01;t_3;:264479903#1-AddedOnRampNode_0_0;6.68;0.00;0.00;DEFAULT_VEHTYPE;585.57;661.97
78.00;359.70;t_1;211138992#0_0;33.23;0.00;0.00;DEFAULT_VEHTYPE;594.75;727.96
78.00;240.24;t_2;264479898#0_0;42.08;0.00;13.74;DEFAULT_VEHTYPE;541.02;654.55
78.00;60.01;t_3;:264479903#1-AddedOnRampNode_0_0;6.68;0.00;0.00;DEFAULT_VEHTYPE;585.57;661.97
79.00;359.70;t_1;211138992#0_0;33.23;0.00;0.00;DEFAULT_VEHTYPE;594.75;727.96
79.00;240.24;t_2;264479898#0_0;57.55;0.00;15.47;DEFAULT_VEHTYPE;527.60;646.87
